FAO_Code,Species_EN
BSS,European seabass
CTC,Common cuttlefish
NSQ,Changeable nassa
OCC,Common octopus
BLL,Brill
BRB,Black seabream
CET,Wedge sole
COE,European conger
GUR,Red gurnard
HKE,European hake
MAC,Atlantic mackerel
MGC,Thinlip grey mullet
MGR,Meagre
MLR,Thicklip grey mullet
MNZ,Monkfishes NEI
MUR,Surmullet
OAL,Senegalese sole
RJF,Shagreen ray
SBG,Gilthead seabream
SOL,Common sole
SOS,Sand sole
SPU,Spotted seabass
SQZ,Inshore squids NEI
SSB,Sand steenbras
SWA,White seabream
TUR,Turbot
WHG,Whiting
BIB,Pouting(=Bib)
COD,Atlantic cod
GUU,Tub gurnard
JOD,John dory
LIN,Ling
PAC,Common pandora
POK,Saithe(=Pollock)
POL,Pollack
RPG,Red porgy
SBA,Axillary seabream
SBR,Blackspot seabream
SDV,Smooth-hounds NEI
USB,Ballan wrasse
DAB,Common dab
GAG,Tope shark
HER,Atlantic herring
HOM,Atlantic horse mackerel
LEM,Lemon sole
PLE,European plaice
RJC,Thornback ray
SCE,Great Atlantic scallop
SYC,Small-spotted catshark
WEG,Greater weever
HLT,Tuberculate abalone
SCR,Spinous spider crab
VEV,Warty venus
VSC,Variegated scallop
CRE,Edible crab
RJE,Small-eyed ray
SYT,Nursehound
CPR,Common prawn
HAD,Haddock
MEG,Megrim
NEP,Norway lobster
OCT,"Octopuses, etc. NEI"
RJM,Spotted ray
RJN,Cuckoo ray
URX,"Sea urchins, etc. NEI"
LBE,European lobster
WHE,Whelk
BOG,Bogue
BOY,Purple dye murex
CTL,"Cuttlefish, bobtail squids NEI"
ELE,European eel
GUG,Grey gurnard
LEE,Leerfish
POD,Poor cod
SIL,Silversides(=Sand smelts) NEI
SQY,Squillids NEI
TGS,Caramote prawn
CTG,Grooved carpet shell
PEE,Common periwinkle
SKA,Raja rays NEI
BRF,Blackbelly rosefish
BSF,Black scabbardfish
GFB,Greater forkbeard
LIO,Velvet swimcrab
LOQ,"Craylets, squat lobsters NEI"
RED,Atlantic redfishes NEI
RJH,Blonde ray
USK,Tusk(=Cusk)
WIT,Witch flounder
FLX,Flatfishes NEI
GAD,Gadiformes NEI
GKL,Common European bittersweet
LZS,Leaping mullet
UCA,Canary drum(=Baardman)
MAS,Pacific chub mackerel
BON,Atlantic bonito
DPS,Deep-water rose shrimp
EJE,Elegant cuttlefish
GAS,Gastropods NEI
GOB,Atlantic gobies NEI
ILL,Shortfin squids NEI
LEF,Lefteye flounders NEI
MGA,Golden grey mullet
OUW,Alloteuthis squids NEI
SCS,"Scorpionfishes, rockfishes NEI"
SLM,Salema
PIL,European pilchard(=Sardine)
CTZ,Streaked gurnard
FLE,European flounder
RJI,Sandy ray
EOI,Horned octopus
HMM,Mediterranean horse mackerel
MUF,Flathead grey mullet
MKG,Thickback sole
DGS,Piked dogfish
LEZ,Megrims NEI
SLO,Common spiny lobster
BLI,Blue ling
HYD,Ratfishes NEI
RNG,Roundnose grenadier
GUX,"Gurnards, searobins NEI"
SWO,Swordfish
TWL,Tellins NEI
ARY,Argentine
CBC,Red bandfish
GSM,Solenette
JRS,Mediterranean starry ray
UUC,Stargazer
WRA,"Wrasses, hogfishes, etc. NEI"
OYF,European flat oyster
FCP,Common carp
RIB,Common mora
SSG,Sand violet
ALV,Thresher
WHB,Blue whiting(=Poutassou)
BLU,Bluefish
DEC,Common dentex
GAR,Garfish
CLJ,Japanese carpet shell
ANN,Annular seabream
SPC,Picarel
DGX,Dogfish sharks NEI
COZ,Cockles NEI
SAL,Atlantic salmon
SHD,Allis and twaite shads
CSH,Common shrimp
ASD,Allis shad
TTR,Marbled electric ray
IAR,Pink cuttlefish
CRG,Green crab
TRS,Sea trout
FPP,Pike-perch
SME,European smelt
BFT,Atlantic bluefin tuna
RJO,Longnosed skate
BLE,Combtooth blennies
PCB,Barnacle
OOA,Snake blenny
PSL,Pink spiny lobster
ODL,Boxlip mullet
TSD,Twaite shad
BSH,Blue shark
QSC,Queen scallop
SBZ,Zebra seabream
BAS,Combers NEI
CEP,Cephalopods NEI
SAN,Sandeels(=Sandlances) NEI
ANE,European anchovy
POA,Atlantic pomfret
JCR,Royal cucumber
SLI,Spanish ling
VNR,Banded carpet shell
SCK,Kitefin shark
GHL,Greenland halibut
TPS,Carpet shells NEI
MYV,Mytilus mussels NEI
RJU,Undulate ray
WRF,Wreckfish
ALB,Albacore
TRI,"Triggerfishes, durgons NEI"
BET,Bigeye tuna
SMA,Shortfin mako
JDP,Common stingray
SKJ,Skipjack tuna
FRI,Frigate tuna
SBS,Saddled seabream
KUP,Kuruma prawn
MUT,Red mullet
EPI,Black cardinal fish
CMR,Mediterranean shore crab
ALF,Alfonsinos NEI
COB,Shi drum
CRU,Marine crustaceans NEI
RHG,Roughhead grenadier
CTR,Dwarf bobtail squid
LTA,Little tunny(=Atl.black skipj)
ROL,Rocklings NEI
SCL,"Catsharks, nursehounds NEI"
MON,Angler(=Monk)
SSD,Surf clams NEI
CUX,Sea cucumbers NEI
SYR,Knifetooth dogfish
SCO,"Scorpionfishes, redfishes NEI"
HOL,"Chimaeras, etc. NEI"
POR,Porbeagle
HAL,Atlantic halibut
BSK,Basking shark
SHR,Sharpsnout seabream
MYL,Common eagle ray
SJA,Great Mediterranean scallop
RPN,Sea snails
OLV,Paromola
BUM,Blue marlin
NAU,Pilotfish
LDB,Four-spot megrim
AVX,Sand smelts NEI
SQC,Common squids NEI
MGS,
POP,Pompano
CTB,Common two-banded seabream
FOR,Forkbeard
GPD,Dusky grouper
OYC,Cupped oysters NEI
MLS,Striped marlin
AMB,Greater amberjack
BAR,Barracudas NEI
MZZ,Marine fishes NEI
SAA,Round sardinella
CAL,Callinectes swimcrabs NEI
OCM,Horned and musky octopuses
PLA,Amer. plaice(=Long rough dab)
MGU,White mullet
TJX,Atlantic thornyhead
USI,Cuckoo wrasse
FSI,Freshwater siluroids NEI
CBR,Comber
BIL,"Marlins,sailfishes,etc. NEI"
VMA,Atlantic chub mackerel
CLX,"Clams, etc. NEI"
ANK,Blackbellied angler
